Hour,Day,Value
23,6,38
22,6,40
21,6,36
20,6,49
19,6,72
18,6,112
17,6,131
16,6,183
15,6,168
14,6,173
13,6,169
12,6,172
11,6,144
10,6,132
9,6,87
8,6,60
7,6,28
6,6,5
5,6,6
3,6,3
2,6,3
1,6,12
0,6,20
23,5,21
22,5,31
21,5,17
20,5,29
19,5,72
18,5,181
17,5,330
16,5,178
15,5,129
14,5,83
13,5,90
12,5,58
11,5,66
10,5,106
9,5,225
8,5,257
7,5,181
6,5,61
5,5,18
4,5,4
2,5,4
1,5,2
0,5,7
23,4,17
22,4,25
21,4,54
20,4,92
19,4,191
18,4,295
17,4,417
16,4,242
15,4,154
14,4,110
13,4,128
12,4,160
11,4,131
10,4,153
9,4,348
8,4,484
7,4,215
6,4,59
5,4,15
4,4,3
2,4,1
1,4,1
0,4,5
23,3,10
22,3,16
21,3,28
20,3,47
19,3,78
18,3,240
17,3,407
16,3,236
15,3,93
14,3,56
13,3,70
12,3,111
11,3,83
10,3,153
9,3,357
8,3,509
7,3,230
6,3,93
5,3,20
4,3,6
2,3,1
1,3,3
0,3,10
23,2,27
22,2,42
21,2,78
20,2,76
19,2,159
18,2,298
17,2,440
16,2,281
15,2,142
14,2,120
13,2,117
12,2,141
11,2,118
10,2,136
9,2,298
8,2,445
7,2,223
6,2,73
5,2,22
4,2,5
3,2,2
2,2,4
1,2,1
0,2,4
23,1,11
22,1,17
21,1,43
20,1,47
19,1,48
18,1,62
17,1,111
16,1,120
15,1,137
14,1,149
13,1,125
12,1,117
11,1,75
10,1,80
9,1,43
8,1,23
7,1,8
6,1,8
5,1,6
4,1,1
3,1,11
2,1,33
1,1,44
0,1,56
