Hour,Day,Value
23,6,31
22,6,29
21,6,32
20,6,71
19,6,88
18,6,93
17,6,134
16,6,159
15,6,160
14,6,223
13,6,240
12,6,178
11,6,174
10,6,148
9,6,93
8,6,64
7,6,35
6,6,10
5,6,1
4,6,3
3,6,2
2,6,8
1,6,13
0,6,28
23,5,47
22,5,46
21,5,61
20,5,96
19,5,176
18,5,328
17,5,485
16,5,335
15,5,188
14,5,160
13,5,177
12,5,193
11,5,162
10,5,202
9,5,376
8,5,480
7,5,258
6,5,77
5,5,22
4,5,3
3,5,1
1,5,2
0,5,16
23,4,22
22,4,56
21,4,81
20,4,144
19,4,228
18,4,379
17,4,527
16,4,304
15,4,186
14,4,142
13,4,163
12,4,166
11,4,112
10,4,187
9,4,423
8,4,555
7,4,274
6,4,101
5,4,21
4,4,6
2,4,5
1,4,5
0,4,12
23,3,23
22,3,44
21,3,74
20,3,105
19,3,194
18,3,339
17,3,426
16,3,230
15,3,99
14,3,58
13,3,58
12,3,106
11,3,129
10,3,191
9,3,392
8,3,583
7,3,295
6,3,76
5,3,20
4,3,5
3,3,2
2,3,4
0,3,6
23,2,27
22,2,56
21,2,92
20,2,118
19,2,218
18,2,379
17,2,496
16,2,249
15,2,145
14,2,95
13,2,127
12,2,168
11,2,121
10,2,149
9,2,349
8,2,452
7,2,206
6,2,78
5,2,16
4,2,6
0,2,5
23,1,1
22,1,7
21,1,14
20,1,21
19,1,37
18,1,77
17,1,142
16,1,98
15,1,28
14,1,16
13,1,14
12,1,12
11,1,15
10,1,28
9,1,90
8,1,122
7,1,57
6,1,16
5,1,3
4,1,4
3,1,1
0,1,2
23,7,14
22,7,22
21,7,45
20,7,45
19,7,60
18,7,82
17,7,100
16,7,83
15,7,127
14,7,121
13,7,134
12,7,137
11,7,135
10,7,102
9,7,61
8,7,41
7,7,13
6,7,4
5,7,5
4,7,2
3,7,4
2,7,8
1,7,13
0,7,24
