Hour,Day,Value
23,6,40
22,6,59
21,6,58
20,6,72
19,6,95
18,6,132
17,6,206
16,6,201
15,6,224
14,6,227
13,6,221
12,6,198
11,6,199
10,6,151
9,6,109
8,6,66
7,6,22
6,6,13
5,6,9
4,6,2
3,6,3
2,6,13
1,6,10
0,6,18
23,5,46
22,5,56
21,5,63
20,5,78
19,5,153
18,5,328
17,5,472
16,5,317
15,5,192
14,5,134
13,5,156
12,5,168
11,5,158
10,5,193
9,5,441
8,5,486
7,5,258
6,5,85
5,5,22
4,5,7
3,5,1
2,5,5
1,5,9
0,5,18
23,4,27
22,4,52
21,4,80
20,4,134
19,4,234
18,4,385
17,4,533
16,4,310
15,4,137
14,4,113
13,4,150
12,4,182
11,4,124
10,4,201
9,4,448
8,4,571
7,4,240
6,4,95
5,4,20
4,4,5
3,4,2
2,4,2
1,4,4
0,4,6
23,3,23
22,3,34
21,3,55
20,3,75
19,3,98
18,3,191
17,3,162
16,3,103
15,3,65
14,3,70
13,3,123
12,3,157
11,3,149
10,3,194
9,3,447
8,3,635
7,3,336
6,3,108
5,3,18
4,3,6
3,3,1
2,3,0
1,3,3
0,3,13
23,2,15
22,2,64
21,2,85
20,2,147
19,2,276
18,2,453
17,2,604
16,2,325
15,2,198
14,2,122
13,2,138
12,2,175
11,2,142
10,2,200
9,2,450
8,2,626
7,2,308
6,2,118
5,2,22
4,2,4
3,2,1
2,2,1
1,2,4
0,2,9
23,1,44
22,1,39
21,1,91
20,1,146
19,1,224
18,1,443
17,1,598
16,1,272
15,1,167
14,1,125
13,1,127
12,1,139
11,1,135
10,1,160
9,1,409
8,1,465
7,1,139
6,1,49
5,1,10
4,1,2
3,1,1
2,1,2
1,1,4
0,1,4
23,7,8
22,7,27
21,7,23
20,7,45
19,7,86
18,7,94
17,7,119
16,7,186
15,7,176
14,7,167
13,7,150
12,7,166
11,7,150
10,7,127
9,7,86
8,7,37
7,7,22
6,7,6
5,7,2
4,7,5
3,7,0
2,7,10
1,7,12
0,7,26
